name,macro_gdp_pc_pp,macro_pop,macro_urbanization_rate,macro_prepare_scaleup,macro_borrow_abi,macro_avg_prod_k,macro_T_rebuild_K,macro_pi,macro_income_elast,macro_rho,macro_shareable,macro_max_increased_spending,macro_fa_glofris,macro_protection,macro_tau_tax,n_cat_info__nonpoor,n_cat_info__poor,c_cat_info__nonpoor,c_cat_info__poor,axfin_cat_info__nonpoor,axfin_cat_info__poor,gamma_SP_cat_info__nonpoor,gamma_SP_cat_info__poor,k_cat_info__nonpoor,k_cat_info__poor,fa_cat_info__nonpoor,fa_cat_info__poor,v_cat_info__nonpoor,v_cat_info__poor,shew_cat_info__nonpoor,shew_cat_info__poor,shew_for_hazard_ratio,hazard_ratio_fa__earthquake,hazard_ratio_fa__flood,hazard_ratio_fa__surge,hazard_ratio_fa__tsunami,hazard_ratio_fa__wind,hazard_ratio_flood_poor,ratio_surge_flood,risk,resilience,risk_to_assets,id
Canada,41898.8823594636,35154279,0.81828,0.8666666667,0.8333333333,0.3354838939,3,0.2,1.5,0.06,0.8,0.05,0.0368631345,1,0.174861,0.8,0.2,48655.0771399271,14874.1032376096,0.6416325,0.3688955,0.929738478,1.281046088,151156.847985365,19827.0621592039,0.0104482901,0.0113655021,0.2784891517,0.3927198495,0.64,0.64,0.8,0.0001630989,0.001131193,0,0,5.40520659928519E-005,0.0012509298,0,0.0013935714,0.701879917,0.0009781197,CAN
Central African Republic,584.3759440422,4616417,0.40037,0,0,0.3147438331,3,0.2,1.5,0.06,0.8,0.05,0.0446324846,1,0.0650741202,0.8,0.2,705.85309341,98.4673465711,0.03726327,0.006212666,1.25,0,2237.183389481,334.6245682284,0.0099494215,0.0118156449,0.6348205553,0.7,0,0,0,0.0001733606,0.0025295933,0,0,0,0.0031255708,0,0.0105506704,0.5231572285,0.0055196595,CAF
Chad,2021.5934708652,12825314,0.22471,0,0,0.7532009945,3,0.2,1.5,0.06,0.8,0.05,0.0781597334,1,0.0639282994,0.8,0.2,2403.6746368587,493.2688068911,0.08138166,0.0492537,1.25,0,3180.0977437285,699.6223131894,0.0080886294,0.0089448106,0.6734349004,0.7,0,0,0,0,0.002704069,0,0,0,0.0029902947,0,0.0051190449,0.4759755672,0.0024365403,TCD
Chile,21714.0315564501,17619708,0.8953,0.8,0.925,0.3473941118,3,0.2,1.5,0.06,0.8,0.05,0.0837231814,1,0.1706202906,0.8,0.2,25915.6966626232,4907.3711317577,0.1605431,0.07033718,1.1018072654,0.5927709386,75779.3206460442,9410.057657438,0.090866062,0.0923290296,0.11529375,0.313141,0.64,0.64,0.8,0.0246009809,0.0035221602,0,0.000121227,0,0.0037705355,0,0.0179252278,0.5389231442,0.0096603201,CHL
China,11524.567506563,1357380000,0.55614,0.8,0.8416666667,0.2292163791,3,0.2,1.5,0.06,0.8,0.05,0.0926853586,1,0.1473363666,0.8,0.2,13732.9627550081,2690.9865127825,0.4205326,0.1704762,1.1166298251,0.5334806994,60564.2041397513,9133.7592331873,0.0034625954,0.0037931122,0.5370080663,0.7,0.64,0.64,0.8,0.0004025057,0.0007783019,0.0002739672,0,7.35618305952312E-005,0.0008606851,0.3520062682,0.0048042121,0.6668698533,0.0032037842,CHN
Colombia,12025.3853718442,48321405,0.76436,0.7333333333,0.7166666667,0.2797792565,3,0.2,1.5,0.06,0.8,0.05,0.0341975035,1,0.0884946671,0.8,0.2,14535.6845682167,1984.1885863543,0.1365075,0.02795298,1.1928085331,0.2287658675,52020.6408933949,6825.8882384126,0.0664588809,0.072174909,0.2226012,0.5302352,0.64,0.64,0.8,0.0142823909,0.0025370865,0,6.00400506110681E-005,0,0.0034889327,0,0.0303905696,0.4515340479,0.0137223769,COL
"Congo, Dem. Rep.",783.2592535785,67513677,0.42494,0.4,0.375,0.2370560019,3,0.2,1.5,0.06,0.8,0.05,0.0363293933,1,0.0292347291,0.8,0.2,925.5187155097,214.2214058537,0.01915755,0.008708673,1.2196390024,0.1214439906,3900.4371773155,918.8043971599,0.017275792,0.0330795176,0.6,0.7,0.32,0.32,0.4,0.0002519425,0.003185721,0,0,0,0.0063396488,0,0.0168960072,0.5094120135,0.0086070291,COD
"Congo, Rep.",5680.2299827443,4447632,0.6538,0,0.125,0.3727534239,3,0.2,1.5,0.06,0.8,0.05,0.0348527325,1,0.153256578,0.8,0.2,6701.9613508905,1593.3045101598,0.08744304,0.01770981,1.1713128089,0.3147487642,18003.2259013442,4179.9576603693,0.0431367872,0.0476561144,0.3,0.6343680961,0,0,0,4.4980555678414E-005,0.0068350129,0,0,0,0.0075584988,0,0.01175034,0.5057968257,0.0059432847,COG
Costa Rica,13430.7432070712,4872166,0.76821,0.9333333333,0.75,0.4818967549,3,0.2,1.5,0.06,0.8,0.05,0.0200275571,1,0.2140434198,0.8,0.2,16081.6361475669,2827.1714450885,0.2792255,0.07918306,1.1345266004,0.4618935983,33848.566273293,3958.6468119341,0.02288251,0.02288251,0.3210421673,0.7,0.8,0.8,1,0.0049925691,0.0008214577,6.63854806425438E-006,9.93272725198388E-006,1.09022255935044E-005,0.0008214577,0.0080814243,0.0076352428,0.5114739052,0.0039052275,CRI
Croatia,20048.9871590995,4255700,0.58964,0.6666666667,0.5583333333,0.2305224715,3,0.2,1.5,0.06,0.8,0.05,0.1014082005,1,0.2928353731,0.8,0.2,23053.8291095695,8029.6193572194,0.1524273,0.07799293,1.0621433302,0.7514266793,103166.509542149,22193.6747671633,0.01385824,0.014382689,0.4412012811,0.7,0.64,0.64,0.8,0.0017583149,0.0013869343,0,0,0,0.0015337412,0,0.0078430475,0.7371679557,0.0057816433,HRV
