name,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,gdp_pc_pp_nat,v_p,v_r,fap,far,protection,avg_prod_k,T_rebuild_K,pi,sigma_r,sigma_p,income_elast,rho,v_s,protectionref,dK,delta_W,dcap,dcar,dKtot,dWpc_curency,dWtot_currency,risk,resilience,risk_to_assets,id
Batanes,4454,101.8004531,175.8988186,0.1818182,162.4263872,0.5000,0.3334,0.019935867,0.123962452,234.6025772,0.1,0.216726125,0.005,0.005,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.215862001,6.800140845,0.712907532,2.22E-05,40.49550162,144.7242034,466.9447615,0.116261573,517.8290461,0.00071578,0.90173536,0.000645444,batanes
Batangas,546431,86.02898454,276.5634392,0.1474136,248.4760693,0.0625,0.1012,0.10102973,0.252688931,234.6025772,0.179322417,0.11711503,0.005787745,0.005,7.73,0.23,3,0.2,0,0,1.5,0.15,0.11474861,7.73,0.644264916,1.28E-05,59.10138027,103.2878887,45542.86187,0.111628923,60997.50393,0.000449254,0.746634845,0.000335429,batangas
Benguet,182831,92.42916188,341.0451675,0.0280084,334.0818309,0.0000,0.2003,0.114701365,0.188525443,234.6025772,0.135012693,0.10228237,0.005,0.005,1,0.23,3,0.2,0,0,1.5,0.15,0.099935985,1,0.727469519,7.89E-06,46.13198318,120.3885159,133003.9797,0.82911837,151588.5406,0.002481782,0.877401281,0.002177519,benguet
Biliran,35756,82.69809869,205.564205,0.2088654,179.9017265,0.0420,0.1748,0.208877956,0.273668081,234.6025772,0.314776379,0.157837246,0.089746621,0.073611103,1,0.23,3,0.2,0,0,1.5,0.15,0.151243501,1,9.919487831,0.000345394,87.42882413,100.905019,354681.2069,14.34601346,512956.0572,0.079743612,0.691445596,0.055138369,biliran
Bohol,272951,78.22296493,224.892075,0.3057509,180.0478626,0.0480,0.1550,0.138002375,0.32773122,234.6025772,0.214752861,0.153647307,0.044209972,0.035081975,1,0.23,3,0.2,0,0,1.5,0.15,0.149406568,1,4.514735018,0.000158549,61.31631875,99.89037847,1232301.438,6.593384907,1799671.004,0.036620179,0.684737063,0.025075194,bohol
Bukidnon,291073,78.0642323,209.4738947,0.4148774,154.9549956,0.0639,0.2130,0.087482796,0.097083493,234.6025772,0.169405846,0.126189428,0.005,0.005,9.82,0.23,3,0.2,0,0,1.5,0.15,0.123981547,9.82,0.444542304,1.80E-05,50.25072587,102.009386,13176.60509,0.060946228,17739.80137,0.000393316,0.742770723,0.000292143,bukidnon
Bulacan,710908,101.5324968,293.504708,0.0535976,283.2154582,0.0000,0.1594,0.151327237,0.184450874,234.6025772,0.202309529,0.116596191,0.005,0.005,6.51,0.23,3,0.2,0,0,1.5,0.15,0.113067355,6.51,0.705933974,1.02E-05,73.41470232,117.8054639,77089.72499,0.128812431,91573.78756,0.000454821,0.841831784,0.000382883,bulacan
Cagayan,265428,84.33790017,213.9661082,0.1515935,194.3153145,0.0366,0.0792,0.092099801,0.165051905,234.6025772,0.20400502,0.13082228,0.024956643,0.020902407,9.34,0.23,3,0.2,0,0,1.5,0.15,0.128412539,9.34,2.397012576,6.80E-05,66.94933058,100.1555123,68119.29914,0.339234912,90042.44427,0.001745796,0.756524322,0.001320737,cagayan
Camarines Norte,122835,88.82260132,189.4534567,0.2170643,167.6100905,0.0324,0.1289,0.187797384,0.185910285,234.6025772,0.297789071,0.16678971,0.070101839,0.057278422,1,0.23,3,0.2,0,0,1.5,0.15,0.160525176,1,7.634559626,0.00028099,91.81317175,109.0521038,937791.1316,10.49553284,1289218.776,0.062618741,0.727410389,0.045549523,camarines_norte
Camarines Sur,383327,92.94640543,215.6389348,0.3172596,176.713552,0.0357,0.1215,0.179013839,0.229412085,234.6025772,0.243232687,0.163813414,0.061133212,0.047580691,15.36,0.23,3,0.2,0,0,1.5,0.15,0.15794844,15.36,6.670707045,0.000233234,79.4352239,115.7299089,166475.3984,0.614000652,235363.0278,0.003474553,0.707313294,0.002457598,camarines_sur
Camiguin,18995,96.20523191,219.2762802,0.4104105,168.7666297,0.0000,0.0599,0.137980565,0.203250517,234.6025772,0.134164956,0.123894991,0.044850408,0.032248814,1,0.23,3,0.2,0,0,1.5,0.15,0.120475971,1,3.204483208,0.00011372,48.10783256,92.26653699,60869.15854,4.291716135,81521.14799,0.025429886,0.746667092,0.018987659,camiguin
Capiz,166428,85.33278462,248.3915829,0.2231767,212.0006584,0.0000,0.0828,0.12458611,0.306022629,234.6025772,0.296819051,0.198294079,0.058386982,0.047844186,15.94,0.23,3,0.2,0,0,1.5,0.15,0.193353141,15.94,9.172114344,0.000252102,95.32955555,147.9697454,95765.15973,0.84034218,139856.4684,0.003963866,0.684738867,0.002714213,capiz
Catanduanes,51389,73.40704792,198.7525646,0.2708495,164.8027941,0.2747,0.2960,0.214196896,0.190961914,234.6025772,0.251871543,0.16071095,0.033961544,0.027270472,1,0.23,3,0.2,0,0,1.5,0.15,0.153826193,1,3.338834881,0.000131541,59.78617094,108.2357358,171579.3857,4.790390958,246173.4009,0.029067414,0.696985885,0.020259577,catanduanes
Cavite,782511,98.87756468,310.5756049,0.0255369,305.1694932,0.0000,0.2528,0.101019623,0.197102438,234.6025772,0.155324526,0.108798223,0.059087674,0.051108354,1,0.23,3,0.2,0,0,1.5,0.15,0.106600072,1,7.26459207,9.08E-05,57.26745656,117.0232434,5684623.205,8.33612922,6523112.812,0.027316391,0.871458669,0.023805106,cavite
Cebu,983408,81.29791926,261.9160948,0.188734,227.8273041,0.0641,0.1856,0.133617321,0.20434179,234.6025772,0.229680285,0.15319589,0.042888863,0.035652962,1,0.23,3,0.2,0,0,1.5,0.15,0.149101965,1,5.543836981,0.000132491,68.02798646,136.3335546,5451853.638,7.842581113,7712457.007,0.034423359,0.706889339,0.024333506,cebu
Compostela Valley,159581,84.01965423,224.1885445,0.3066043,181.21216,0.1829,0.1425,0.092187348,0.095956608,234.6025772,0.205400793,0.148883898,0.010353494,0.008220025,1,0.23,3,0.2,0,0,1.5,0.15,0.146138856,1,1.043304655,3.61E-05,66.22575307,128.890026,166491.6002,1.514021955,241609.1375,0.008354969,0.6890948,0.005757366,compostela_valley
Cotabato,293837,68.46911615,215.7907888,0.4483559,149.7382476,0.0479,0.1378,0.130330582,0.126347364,234.6025772,0.249399593,0.151198379,0.03500512,0.028028012,8.5,0.23,3,0.2,0,0,1.5,0.15,0.147257224,8.5,3.269278529,0.000176171,62.98799435,121.1929285,113015.8818,0.653697209,192080.4268,0.004365599,0.588377919,0.002568622,cotabato
Cotabato City,62429,103.1481741,195.4462299,0.3452713,163.5783602,0.0615,0.0797,0.14273556,0.169691426,234.6025772,0.181287404,0.140809561,0.03500512,0.028028012,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.136789855,6.800140845,3.10005697,0.000110912,68.89309478,97.06741609,28460.21295,0.587368713,36668.84138,0.003590748,0.776141593,0.002786929,cotabato_city
Davao,226916,89.16260085,212.9034883,0.267289,179.8289103,0.1758,0.2813,0.100470053,0.150668919,234.6025772,0.232153927,0.163991604,0.03500512,0.028028012,1,0.23,3,0.2,0,0,1.5,0.15,0.160696355,1,3.849507204,0.00012844,76.61988244,126.9673293,873514.7766,5.331518706,1209806.899,0.029647729,0.722028266,0.021406498,davao
Davao del Sur,570933,76.83857947,249.4170039,0.1995817,214.9735086,0.0367,0.1590,0.099298513,0.172567396,234.6025772,0.253369958,0.133144633,0.03500512,0.028028012,1,0.23,3,0.2,0,0,1.5,0.15,0.13050042,1,3.747388822,0.000109323,73.96821486,117.7806697,2139507.942,5.931326444,3386390.001,0.027590965,0.631796084,0.017431863,davao_del_sur
Davao Oriental,120320,78.41508871,178.7028995,0.3775709,140.8371405,0.0796,0.1758,0.144737503,0.174072432,234.6025772,0.260595655,0.171221792,0.022774723,0.017294967,1,0.23,3,0.2,0,0,1.5,0.15,0.166265349,1,2.127781839,0.000108554,73.50274492,107.0847522,256014.7108,3.123094415,375770.72,0.022175219,0.68130564,0.015108102,davao_oriental
Eastern Samar,94156,72.19684223,196.9786677,0.5542831,127.8142106,0.0488,0.1420,0.167961301,0.27430511,234.6025772,0.237901665,0.154239045,0.071160145,0.045588753,1,0.23,3,0.2,0,0,1.5,0.15,0.149057807,1,5.455806121,0.000361461,60.92930095,94.23672767,513696.8811,8.990694879,846527.867,0.070341904,0.606828081,0.042685442,eastern_samar
Guimaras,37452,92.16500914,248.1769694,0.1694163,221.7460003,0.0000,0.0335,0.141886648,0.27664148,234.6025772,0.297998424,0.176569582,0.101838987,0.084081403,1,0.23,3,0.2,0,0,1.5,0.15,0.171559009,1,14.97441703,0.0003715,102.7762387,138.2121311,560821.8667,21.11571102,790825.6093,0.095224766,0.709159972,0.067529593,guimaras
Ifugao,41494,79.30760642,316.2120923,0.3603031,230.8546716,0.1120,0.1259,0.127762998,0.078481069,234.6025772,0.12267893,0.115990431,0.005,0.005,10.64,0.23,3,0.2,0,0,1.5,0.15,0.113026574,10.64,0.571309307,1.26E-05,35.99255767,143.2584859,2227.998909,0.07154274,2968.594451,0.000309904,0.750523167,0.00023259,ifugao
Ilocos Norte,133798,80.62314334,270.8622999,0.083793,254.9215903,0.0000,0.1702,0.221918348,0.325504014,234.6025772,0.140148069,0.119258567,0.005,0.005,48.14,0.23,3,0.2,0,0,1.5,0.15,0.113965435,48.14,0.634715201,1.05E-05,36.96776089,90.74441629,1764.096893,0.015338756,2052.294804,6.02E-05,0.85957285,5.17E-05,ilocos_norte
Ilocos Sur,152112,75.82216159,255.5100657,0.137304,230.8381977,0.0000,0.1058,0.115246646,0.251049416,234.6025772,0.176378914,0.113781082,0.005,0.005,27.75,0.23,3,0.2,0,0,1.5,0.15,0.111158504,27.75,0.571734159,1.22E-05,50.37706899,92.64101543,3133.968516,0.026529771,4035.496494,0.000114928,0.776600481,8.93E-05,ilocos_sur
Iloilo,494012,81.11439258,289.5062043,0.2083429,246.0892499,0.0152,0.1515,0.142837509,0.271255353,234.6025772,0.257346197,0.171523928,0.03500512,0.028028012,1,0.23,3,0.2,0,0,1.5,0.15,0.166623918,1,5.295535771,0.00011974,75.73150535,154.4365661,2616058.217,7.956876877,3930792.66,0.032333297,0.665529435,0.021518761,iloilo
Isabela,357627,87.82874982,211.37736,0.1904398,187.8487874,0.0160,0.0623,0.105628737,0.154795449,234.6025772,0.184630576,0.134264699,0.005,0.005,10.29,0.23,3,0.2,0,0,1.5,0.15,0.131428257,10.29,0.55521734,1.57E-05,62.29678602,102.1830173,19296.47343,0.067554232,24159.21719,0.00035962,0.798720972,0.000287236,isabela
Isabela City,22158,100.9165751,222.5255725,0.1547324,203.7087205,0.0799,0.1169,0.119684402,0.077088389,234.6025772,0.211067367,0.156583373,0.03500512,0.028028012,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.152835256,6.800140845,3.993064949,0.000102392,79.90087392,136.7890366,13011.25008,0.753572529,16697.6601,0.003699265,0.779225952,0.002882563,isabela_city
Kalinga,40658,80.65555801,225.6504065,0.2086172,195.4019872,0.2226,0.2153,0.123912545,0.11519986,234.6025772,0.165980901,0.127818871,0.005,0.005,7.5,0.23,3,0.2,0,0,1.5,0.15,0.124651199,7.5,0.542006052,1.46E-05,48.82496333,108.2760883,2938.25094,0.09122963,3709.214294,0.000466882,0.792149147,0.00036984,kalinga
La Union,172794,70.32231853,236.0420856,0.1533975,210.6210876,0.0000,0.1016,0.114141594,0.265161743,234.6025772,0.174852864,0.121431696,0.005,0.005,23.79,0.23,3,0.2,0,0,1.5,0.15,0.118659615,23.79,0.555653615,1.36E-05,46.41747822,89.64770095,4035.881075,0.029983088,5180.897675,0.000142356,0.778992624,0.000110894,la_union
Laguna,679210,97.44907819,301.5304931,0.0462429,292.0931766,0.0838,0.2717,0.088258123,0.185081365,234.6025772,0.140290999,0.112658594,0.005,0.005,8.78,0.23,3,0.2,0,0,1.5,0.15,0.110669987,8.78,0.704892893,9.42E-06,51.26954554,118.3696618,54529.64709,0.09223561,62647.34883,0.000315775,0.870422262,0.000274857,laguna
Lanao del Norte,201860,66.68210747,275.1951062,0.4143466,188.7984541,0.0386,0.2715,0.142710562,0.251975026,234.6025772,0.16838594,0.121874471,0.03500512,0.028028012,8.09,0.23,3,0.2,0,0,1.5,0.15,0.118395917,8.09,2.994956537,0.00011158,39.75111731,106.9662521,74729.53358,0.615885848,124322.7172,0.003262134,0.601093149,0.001960846,lanao_del_norte
Lanao del Sur,149982,89.66469527,212.8913517,0.6730544,129.9531084,0.0205,0.1264,0.078638578,0.092379997,234.6025772,0.138008936,0.130257362,0.03500512,0.028028012,10.34,0.23,3,0.2,0,0,1.5,0.15,0.128208711,10.34,2.323017258,0.000118998,48.45561566,108.0162146,33695.43272,0.2934679,44014.90253,0.00225826,0.765546003,0.001728802,lanao_del_sur
Leyte,408401,75.69821712,242.2981311,0.3140853,189.9715471,0.0678,0.2019,0.158571612,0.209550757,234.6025772,0.235886742,0.153015407,0.136057478,0.106848461,1,0.23,3,0.2,0,0,1.5,0.15,0.148162627,1,14.62299854,0.000512219,63.73938668,126.8719618,5972047.225,23.08614579,9428405.026,0.121524229,0.633410127,0.076974677,leyte
Maguindanao,161059,84.93135319,136.0201166,0.5451403,108.1695728,0.0826,0.0690,0.084046591,0.138951283,234.6025772,0.269522779,0.220262357,0.083918707,0.057274245,7.23,0.23,3,0.2,0,0,1.5,0.15,0.216559897,7.23,7.826712472,0.000543359,90.4669667,111.2952529,174351.6575,1.45535538,234398.0821,0.013454388,0.743827151,0.010007739,maguindanao
Manila,399003,136.9159917,385.4746799,0.0359479,376.539517,0.0000,0.1950,0.127707758,0.148081425,234.6025772,0.136136094,0.112270577,0.03500512,0.028028012,13.13,0.23,3,0.2,0,0,1.5,0.15,0.109403012,13.13,5.052388831,4.64E-05,68.22438822,156.9661734,153535.2857,0.44462968,177408.5762,0.001180831,0.865433278,0.001021931,manila
Marinduque,53412,79.78056965,206.2993271,0.2385761,176.1149753,0.1569,0.1317,0.154280415,0.237230021,234.6025772,0.208906851,0.144329834,0.050798932,0.04092244,1,0.23,3,0.2,0,0,1.5,0.15,0.13987638,1,4.764414641,0.000163178,60.0499426,96.91711683,254476.9148,6.564779241,350637.9888,0.037275531,0.725753977,0.027052865,marinduque
Masbate,179704,83.88989666,165.6154935,0.405685,132.4606448,0.1535,0.1528,0.17714825,0.142617626,234.6025772,0.306455153,0.193198502,0.042529509,0.031133297,1,0.23,3,0.2,0,0,1.5,0.15,0.186353547,1,4.352463577,0.000238196,89.67645476,115.6454721,782155.1146,6.250692631,1123274.469,0.047189055,0.696317006,0.032858541,masbate
Misamis Occidental,131488,74.97652821,171.9224476,0.3377107,139.1827733,0.1075,0.0968,0.122959924,0.180788107,234.6025772,0.28036032,0.178350539,0.061471479,0.04745757,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.173964545,6.800140845,5.947671275,0.000313598,79.03173958,107.6431854,115004.5886,1.303455016,171388.6931,0.00936506,0.671016194,0.006284107,misamis_occidental
Misamis Oriental,332788,79.70204755,279.3890594,0.1908518,241.2784338,0.0155,0.1591,0.139525013,0.159940809,234.6025772,0.21101743,0.154132021,0.089146712,0.073959235,1,0.23,3,0.2,0,0,1.5,0.15,0.149830967,1,12.09643936,0.000264619,61.5655209,155.0478649,4025549.861,17.07113077,5681067.466,0.070752825,0.708590399,0.050134772,misamis_oriental
Mountain Province,34301,103.579075,199.789274,0.2794769,172.9007458,0.0566,0.1097,0.104669888,0.149665598,234.6025772,0.127832255,0.105328963,0.005,0.005,1,0.23,3,0.2,0,0,1.5,0.15,0.103124009,1,0.401398185,1.22E-05,50.43670553,76.23877322,13768.35915,0.477690694,16385.26848,0.002762803,0.840288895,0.002321553,mountain_province
NCR-2nd Dist.,1049727,100.6308961,411.987638,0.0188449,406.1201514,0.1273,0.2818,0.123276466,0.131515932,234.6025772,0.211085836,0.112404012,0.03500512,0.028028012,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.109632658,6.800140845,5.457894446,4.56E-05,76.61388602,171.2764037,842526.5438,0.945584992,992606.0971,0.002328338,0.848802507,0.001976299,ncr_2_dist
NCR-3rd Dist.,661591,104.82468,309.8285323,0.0276092,304.16854,0.0326,0.1961,0.151503707,0.16262343,234.6025772,0.18912734,0.113205689,0.03500512,0.028028012,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.109775473,6.800140845,4.110289508,5.26E-05,70.53483904,124.502261,399893.268,0.706379242,467334.1493,0.002322328,0.855690235,0.001987194,ncr_3_dist
NCR-4th Dist.,806828,123.2264576,415.750797,0.0299173,406.9992586,0.0469,0.2334,0.098154444,0.15267214,234.6025772,0.146760295,0.108188044,0.03500512,0.028028012,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.106064216,6.800140845,5.291351786,4.35E-05,67.79728002,163.2726126,627812.111,0.905065109,730231.8715,0.002223751,0.859743508,0.001911856,ncr_4_dist
Negros Occidental,661738,74.85618678,206.7181103,0.2490811,173.8737973,0.0831,0.1939,0.128287015,0.235858322,234.6025772,0.265662881,0.171872988,0.054139322,0.043703467,14.13,0.23,3,0.2,0,0,1.5,0.15,0.167463173,14.13,6.060196022,0.000224632,72.82641629,116.563643,283811.8892,0.627397441,415172.7277,0.00360835,0.683599549,0.002466666,negros_occidental
Negros Oriental,298807,63.80098417,254.9196265,0.4394718,170.9283727,0.0781,0.1584,0.159426998,0.251860188,234.6025772,0.27724019,0.179002926,0.022601345,0.016698068,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.173295346,6.800140845,2.537413704,0.000124439,62.77005723,144.5039108,111497.246,0.703920186,210336.2791,0.004118217,0.530090418,0.002183028,negros_oriental
Northern Samar,118770,80.71985405,212.923969,0.434986,155.4170299,0.0535,0.1718,0.12288402,0.168892833,234.6025772,0.305753634,0.204158285,0.081600016,0.060231852,1,0.23,3,0.2,0,0,1.5,0.15,0.199140726,1,9.951943363,0.000483189,91.58752632,155.0948275,1181992.313,16.114921,1913969.167,0.103688257,0.617560791,0.064033802,northern_samar
Nueva Ecija,464189,92.82441373,235.1840302,0.1964032,207.224146,0.0210,0.1027,0.107284988,0.200233166,234.6025772,0.195406831,0.126151477,0.005,0.005,9.92,0.23,3,0.2,0,0,1.5,0.15,0.123444645,9.92,0.583032011,1.47E-05,68.98280032,101.0785391,27281.96028,0.075876884,35221.21466,0.000366159,0.774588854,0.000283622,nueva_ecija
Nueva Vizcaya,101443,77.16578224,246.2056413,0.150795,220.7152758,0.0590,0.1202,0.111491385,0.184307552,234.6025772,0.169807806,0.111089314,0.005,0.005,14.25,0.23,3,0.2,0,0,1.5,0.15,0.108612213,14.25,0.535586328,1.22E-05,49.42305831,94.9435881,3812.735712,0.048484566,4918.419779,0.00021967,0.775195263,0.000170287,nueva_vizcaya
Occidental Mindoro,104345,72.34070039,229.9078976,0.2977628,182.9902477,0.1334,0.1442,0.153611316,0.146052826,234.6025772,0.286705826,0.188862504,0.042288098,0.033377889,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.183060221,6.800140845,5.391810157,0.000201541,74.49752978,157.1532083,82734.82029,1.262848361,131771.9122,0.006901179,0.627863851,0.004333001,occidental_mindoro
Oriental Mindoro,182397,78.76530925,207.5621343,0.2153085,179.8310831,0.0961,0.1257,0.177378113,0.23666951,234.6025772,0.307374211,0.155836856,0.064697849,0.052757277,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.150308446,6.800140845,7.044913801,0.000254467,85.00592774,105.2356058,188962.4306,1.553366893,283329.4611,0.008637922,0.666935341,0.005760936,oriental_mindoro
Palawan,233128,74.59745889,215.4647031,0.2047371,186.623952,0.0549,0.1585,0.140143275,0.18120938,234.6025772,0.347250157,0.249450372,0.081655786,0.067188357,1,0.23,3,0.2,0,0,1.5,0.15,0.242458613,1,13.95961561,0.000459279,94.67238548,188.7422186,3254377.268,20.1553687,4698780.793,0.107999903,0.69260036,0.074800772,palawan
Pampanga,523257,112.6682517,312.3801058,0.0544347,301.508851,0.0704,0.2223,0.131979519,0.271894778,234.6025772,0.203654812,0.115122359,0.005,0.005,8.49,0.23,3,0.2,0,0,1.5,0.15,0.1120836,8.49,0.745658115,9.75E-06,82.78196999,111.0457348,45956.51687,0.103523186,54169.23161,0.00034335,0.84838783,0.000291294,pampanga
Pangasinan,646070,90.23663691,201.3999616,0.1487597,184.8633388,0.0491,0.0891,0.126549756,0.256779803,234.6025772,0.194472942,0.137066537,0.008813456,0.00736977,17.58,0.23,3,0.2,0,0,1.5,0.15,0.13359739,17.58,0.832149309,2.41E-05,65.51384196,87.16686609,30581.72378,0.059229012,38266.0875,0.000320394,0.799186062,0.000256054,pangasinan
Quezon,463303,83.96952884,176.9196324,0.2031569,158.0361775,0.1375,0.2133,0.105100777,0.205939557,234.6025772,0.254750167,0.160280921,0.029992736,0.024593591,17.61,0.23,3,0.2,0,0,1.5,0.15,0.156911791,17.61,2.907897544,0.000113322,79.86082036,96.45363898,76504.12583,0.220065266,101956.8977,0.001392499,0.750357529,0.001044872,quezon
Quirino,42119,109.4421897,210.8101676,0.1546661,195.1319778,0.0000,0.0771,0.04428545,0.138402357,234.6025772,0.128162419,0.109007162,0.005,0.005,1,0.23,3,0.2,0,0,1.5,0.15,0.108041676,1,0.464989812,0.000011542,57.39655467,85.3902341,19584.90589,0.541549598,22809.52751,0.002775299,0.858628303,0.00238295,quirino
Rizal,611020,90.17599935,391.2924352,0.0503628,376.1273683,0.0320,0.2197,0.135444206,0.177998172,234.6025772,0.168555227,0.109811425,0.005,0.005,16.23,0.23,3,0.2,0,0,1.5,0.15,0.106836761,16.23,0.878932266,8.39E-06,54.65200159,149.5674444,33089.66072,0.064875263,39640.08296,0.000172482,0.83475256,0.00014398,rizal
Romblon,64792,76.34886071,173.0215084,0.3036073,143.6709869,0.0775,0.0531,0.171671867,0.216936129,234.6025772,0.282250521,0.178461879,0.061501181,0.048025395,1,0.23,3,0.2,0,0,1.5,0.15,0.172334503,1,6.066703773,0.000295349,77.38939103,102.868343,393073.8708,8.754912281,567248.2765,0.060937232,0.69294855,0.042226367,romblon
Samar (Western),151139,65.4354274,171.8054138,0.4349463,125.5401818,0.0217,0.0544,0.156840665,0.148510548,234.6025772,0.262003894,0.180139224,0.03500512,0.028028012,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.174488593,6.800140845,3.18678825,0.000200862,62.43832303,111.5252414,70829.11962,0.715181048,108091.7484,0.00569683,0.655268517,0.003732953,samar_western
Sarangani,115139,71.2974024,193.1457307,0.460157,137.0763695,0.1976,0.2251,0.130260983,0.129936441,234.6025772,0.303288853,0.199160191,0.017689734,0.012764712,23.94,0.23,3,0.2,0,0,1.5,0.15,0.193971631,23.94,1.853307132,0.000110578,78.22639491,141.9951727,8913.447361,0.127599821,14691.71575,0.000930867,0.606698871,0.000564756,sarangani
Siquijor,22141,76.92299022,281.7251427,0.2402308,232.5253578,0.0722,0.0664,0.150364793,0.235422872,234.6025772,0.207003196,0.144174296,0.097966938,0.079015144,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.139838548,6.800140845,11.89063468,0.000295733,58.72951395,134.1484833,38715.45434,2.65430489,58768.96457,0.01141512,0.658773804,0.007519982,siquijor
Sorsogon,160822,81.24648488,163.1614608,0.3129167,137.5288969,0.0309,0.0547,0.233040044,0.183620201,234.6025772,0.25551228,0.188817897,0.040036455,0.031234181,1,0.23,3,0.2,0,0,1.5,0.15,0.180017471,1,3.858983309,0.00018443,69.06061142,104.9873541,620609.4136,5.120187668,823438.8211,0.037229904,0.753680052,0.028059436,sorsogon
