province,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,gdp_pc_pp_nat,v_p,v_r,fap,far,protection,avg_prod_k,T_rebuild_K,pi,sigma_r,sigma_p,income_elast,rho,v_s,protectionref,dK,delta_W,dcap,dcar,dKtot,dWpc_curency,dWtot_currency,risk,resilience,risk_to_assets
Marinduque,53412,79.78056965,206.2993271,0.2385761,176.1149753,0.13172195,0.154280415,0.154280415,0.237230021,234.6025772,0.208906851,0.178106591,0.050798932,0.04092244,1,0.23,3,0.2,0,0,1.5,0.15,0.17261092,1,5.679294853,0.000186335,60.13893254,119.5981239,303342.4967,11.52540011,615594.6705,0.065442476,0.492763357,0.032247654
Masbate,179704,83.88989666,165.6154935,0.405685,132.4606448,0.152799625,0.17714825,0.17714825,0.142617626,234.6025772,0.306455153,0.247125559,0.042529509,0.031133297,1,0.23,3,0.2,0,0,1.5,0.15,0.238369987,1,5.045499209,0.000267129,89.81939341,147.9253289,906696.3899,16.52277385,2969208.552,0.12473723,0.305366354,0.038090553
Misamis Occidental,131488,74.97652821,171.9224476,0.3377107,139.1827733,0.096838648,0.122959924,0.122959924,0.180788107,234.6025772,0.28036032,0.220475071,0.061471479,0.04745757,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.215053152,6.800140845,6.913009248,0.000347869,79.13298052,133.06738,133670.4314,3.164169151,416050.2734,0.022733914,0.321284325,0.00730405
Misamis Oriental,332788,79.70204755,279.3890594,0.1908518,241.2784338,0.15906044,0.139525013,0.139525013,0.159940809,234.6025772,0.21101743,0.18436708,0.089146712,0.073959234,1,0.23,3,0.2,0,0,1.5,0.15,0.179222317,1,14.23303123,0.000299256,61.69220397,185.4625793,4736581.997,18.50993392,6159883.888,0.076716073,0.768940143,0.058990068
Mountain Province,34301,103.579075,199.789274,0.2794769,172.9007458,0.109654447,0.104669888,0.104669888,0.149665598,234.6025772,0.127832255,0.117120789,0.005,0.005,1,0.23,3,0.2,0,0,1.5,0.15,0.114668985,1,0.43752713,1.31E-05,50.43942653,84.77388355,15007.61807,0.811365031,27830.63192,0.004692664,0.539248197,0.00253051
NCR-2nd Dist.,1049727,100.6308961,411.987638,0.0188449,406.1201514,0.281789804,0.123276465,0.123276465,0.131515931,234.6025772,0.211085836,0.151519364,0.03500512,0.028028012,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.14778361,6.800140845,7.337175287,6.13E-05,76.68591722,230.8786966,1132628.158,0.557376167,585092.8113,0.001372442,1.935809391,0.002656785
NCR-3rd Dist.,661591,104.82468,309.8285323,0.0276092,304.16854,0.196067307,0.151503707,0.151503707,0.16262343,234.6025772,0.18912734,0.151106009,0.03500512,0.028028012,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.146527385,6.800140845,5.459583708,6.97E-05,70.62367126,166.1845792,531167.1519,0.634303097,419649.2204,0.002085367,1.265740829,0.002639534
NCR-4th Dist.,806828,123.2264576,415.750797,0.0299173,406.9992586,0.233354202,0.098154444,0.098154444,0.15267214,234.6025772,0.146760295,0.126311963,0.03500512,0.028028012,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.123832347,6.800140845,6.164620776,5.06E-05,67.82998843,190.6244297,731424.3579,0.460268565,371357.5655,0.001130883,1.969595953,0.002227383
Negros Occidental,661738,74.85618678,206.7181103,0.2490811,173.8737973,0.193915623,0.128287015,0.128287015,0.235858322,234.6025772,0.265662881,0.20215607,0.054139322,0.043703467,14.13,0.23,3,0.2,0,0,1.5,0.15,0.19696927,14.13,6.930500822,0.000246826,72.89311342,137.1015205,324570.117,1.080464442,714984.3789,0.006214073,0.453954137,0.002820904
Negros Oriental,298807,63.80098417,254.9196265,0.4394718,170.9283727,0.158373634,0.159426998,0.159426998,0.251860188,234.6025772,0.27724019,0.209949406,0.022601344,0.016698068,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.203255085,6.800140845,2.848210941,0.000131404,62.80000288,169.4861139,125154.0793,1.195237254,357145.258,0.006992621,0.350429066,0.002450417
Northern Samar,118770,80.71985405,212.923969,0.434986,155.4170299,0.171755555,0.12288402,0.12288402,0.168892833,234.6025772,0.305753634,0.256353364,0.081600016,0.060231852,1,0.23,3,0.2,0,0,1.5,0.15,0.250053018,1,11.55594494,0.000528543,91.76669448,194.7463505,1372499.58,32.69205767,3882835.689,0.21035055,0.353478666,0.074354432
Nueva Ecija,464189,92.82441373,235.1840302,0.1964032,207.224146,0.102712716,0.107284988,0.107284988,0.200233166,234.6025772,0.195406831,0.154017767,0.005,0.005,9.92,0.23,3,0.2,0,0,1.5,0.15,0.150713008,9.92,0.695065348,1.69E-05,68.98870372,123.4063312,32524.36378,0.105161732,48814.9192,0.000507478,0.666279169,0.000338122
Nueva Vizcaya,101443,77.16578224,246.2056413,0.150795,220.7152758,0.120168087,0.111491385,0.111491385,0.184307552,234.6025772,0.169807805,0.152579971,0.005,0.005,14.25,0.23,3,0.2,0,0,1.5,0.15,0.1491777,14.25,0.719964457,1.56E-05,49.43064522,130.4039914,5125.288031,0.067734903,6871.231801,0.000306888,0.745905273,0.000228909
Occidental Mindoro,104345,72.34070039,229.9078976,0.2977628,182.9902477,0.144155578,0.153611316,0.153611316,0.146052826,234.6025772,0.286705826,0.2444861,0.042288098,0.033377889,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.236974934,6.800140845,6.655021609,0.000231748,74.60768461,203.4378142,102118.2128,2.107946482,219953.6756,0.011519447,0.464271454,0.00534815
Oriental Mindoro,182397,78.76530925,207.5621343,0.2153085,179.8310831,0.125659389,0.177378113,0.177378113,0.23666951,234.6025772,0.307374211,0.227245201,0.064697849,0.052757277,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.219183536,6.800140845,9.618056002,0.000320378,85.27660963,153.4571923,257980.6214,2.914121372,531526.9958,0.01620477,0.485357514,0.007865107
Palawan,233128,74.59745889,215.4647031,0.2047371,186.623952,0.158491462,0.140143275,0.140143275,0.18120938,234.6025772,0.347250157,0.29405515,0.081655786,0.067188357,1,0.23,3,0.2,0,0,1.5,0.15,0.28581318,1,16.12975632,0.000515266,94.83329817,222.4916368,3760297.832,31.87085506,7429988.699,0.170775802,0.506097382,0.086429186
Pampanga,523257,112.6682517,312.3801058,0.0544347,301.508851,0.222317664,0.131979519,0.131979519,0.271894778,234.6025772,0.203654812,0.155857089,0.005,0.005,8.49,0.23,3,0.2,0,0,1.5,0.15,0.1517431,8.49,1.000320201,1.29E-05,82.79479026,150.3379976,61651.89016,0.093873937,49120.19483,0.000311347,1.255123079,0.000390779
Pangasinan,646070,90.23663691,201.3999616,0.1487597,184.8633388,0.089079044,0.126549756,0.126549756,0.256779803,234.6025772,0.194472942,0.154985043,0.008813456,0.00736977,17.58,0.23,3,0.2,0,0,1.5,0.15,0.151062379,17.58,0.928090697,2.64E-05,65.52148438,98.56206147,34107.59706,0.092973174,60067.17837,0.000502929,0.567824193,0.000285575
Quezon,463303,83.96952884,176.9196324,0.2031569,158.0361775,0.213278653,0.105100777,0.105100777,0.205939557,234.6025772,0.254750167,0.203241966,0.029992736,0.024593591,17.61,0.23,3,0.2,0,0,1.5,0.15,0.198969788,17.61,3.541900897,0.000133138,79.90922249,122.3066797,93184.17439,0.467631642,216655.1426,0.002959016,0.430103681,0.001272684
Quirino,42119,109.4421897,210.8101676,0.1546661,195.1319778,0.077067828,0.04428545,0.04428545,0.138402357,234.6025772,0.128162419,0.112184031,0.005,0.005,1,0.23,3,0.2,0,0,1.5,0.15,0.111190407,1,0.477188063,1.18E-05,57.39688643,87.8788189,20098.68402,0.730824195,30781.58428,0.003745282,0.65294508,0.002445463
Rizal,611020,90.17599935,391.2924352,0.0503628,376.1273683,0.219732286,0.135444206,0.135444206,0.177998172,234.6025772,0.168555227,0.125702609,0.005,0.005,16.23,0.23,3,0.2,0,0,1.5,0.15,0.122297471,16.23,1.003823158,9.49E-06,54.65610668,171.2118562,37791.49884,0.036173742,22102.87959,9.62E-05,1.709799788,0.000164439
Romblon,64792,76.34886071,173.0215084,0.3036073,143.6709869,0.053058511,0.171671867,0.171671867,0.216936129,234.6025772,0.282250521,0.22528236,0.061501181,0.048025395,1,0.23,3,0.2,0,0,1.5,0.15,0.217547431,1,7.204226407,0.0003356,77.54785114,129.8564328,466776.2374,20.75794565,1344948.815,0.144482516,0.347058737,0.05014392
Samar (Western),151139,65.4354274,171.8054138,0.4349463,125.5401818,0.054401536,0.156840665,0.156840665,0.148510548,234.6025772,0.262003894,0.218566529,0.03500512,0.028028012,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.211710505,6.800140845,3.627129841,0.000218112,62.4964629,135.3158093,80616.09158,1.983914836,299846.9043,0.015803027,0.268857508,0.004248762
Sarangani,115139,71.2974024,193.1457307,0.460157,137.0763695,0.225123478,0.130260983,0.130260983,0.129936441,234.6025772,0.303288853,0.240386992,0.017689734,0.012764712,23.94,0.23,3,0.2,0,0,1.5,0.15,0.234124383,23.94,2.085661625,0.000118419,78.25507608,171.3886306,10030.95212,0.305956221,35227.49337,0.002232013,0.284747825,0.000635561
Siquijor,22141,76.92299022,281.7251427,0.2402308,232.5253578,0.066401141,0.150364793,0.150364793,0.235422872,234.6025772,0.207003196,0.148394266,0.097966938,0.079015144,6.800140845,0.23,3,0.2,0,0,1.5,0.15,0.143931611,6.800140845,12.19161512,0.000300546,58.74967915,138.074999,39695.43521,2.733724417,60527.39231,0.011756672,0.655825961,0.007710331
