name,id,H,T_rebuild_K,T_rebuild_L,alpha,avg_prod_k,axfin_p,axfin_r,axhealth,bashs,borrow_abi,cp,cr,dC_destitution,dKpc,dKtot,dW_destitution,dW_no_transfers,dW_noupscale,dWsurWprime,delta_W,destitution_exposure,equivalent_cost,fa,fap,far,faref,finance_pre,gdp_pc_pp,income_elast,individual_exposure,institutional_exposure,iso3,macro_multiplier,ophe,original_country,pe,peref,pi,plgp,pop,pov_head,prepare_scaleup,protection,protectionref,pv,rating,resilience,resilience_no_shock,resilience_no_shock_no_SP,resilience_no_shock_no_uspcale,rho,risk,risk_to_assets,rp,share1,share1_ref,shew,sigma_p,sigma_r,social_p,social_r,tot_p,tot_r,total_equivalent_cost,total_equivalent_cost_no_destitution,total_equivalent_cost_of_destitution,unemp,v,v_p,v_r,v_s,v_shew
Benin,BEN,0.53565,3,40,1,0.33025,0.0162,0.10626,0.70018,0.809,0,532.12599,2033.60525,13878.32097,14.77673,152547191.06682,0,0,0,30.30233,0,0.00162,35.46632,0.03471,0.06386,0.02742,0.04386,0,1733.3094,1.5,0.00626,0.25916,BEN,1.26727,0.40864,Benin,0.84,0.84,0.2,0.53235,10323474,0.2,0,6.35,6.35,0.04498,0,0.41664,0.48764,0.48204,0.48764,0.05,0.02046,0.00853,40.35552,0.0614,0.0614,0,0,0,0.04726,0.07453,0.04726,0.07453,366135635.86279,312825318.72357,53310317.13922,0.01,0.60288,0.63,0.59875,0.59875,0.60288
Bolivia,BOL,0.53565,3,40,1,0.42183,0.08907,0.2258,0.82113,0.8404,0.40833,985.1084,7171.70787,47515.66059,20.7521,221449861.78046,0,0,0,41.74833,0,0.00013,43.09125,0.04347,0.03999,0.04434,0.04649,0.4,5934.38798,1.5,0.00164,0.07919,BOL,1.35461,0.19813,Bolivia,-0.08,-0.08,0.2,0.96731,10671200,0.2,0.53333,6.7,6.7,1.47893,0.41667,0.48159,0.49708,0.38944,0.45927,0.05,0.00726,0.0035,42.22268,0.0332,0.0332,0.6,0.23542,0.23542,0.34721,0.22687,0.50089,0.40888,459835315.45161,445504807.79762,14330507.65399,0.026,0.25414,0.5544,0.2134,0.2425,0.22364
Bosnia and Herzegovina,BIH,0.53565,3,40,1,0.32393,0.03456,0.07855,0.85432,0.999,0.1375,3506.17524,10857.64373,75162.95524,76.46355,292802394.68724,0,0,0,128.18222,0,0.00218,140.89688,0.13258,0.15485,0.12701,0.13678,0,9387.35003,1.5,0.01088,0.20065,BIH,1.26124,0.29036,Bosnia and Herzegovina,0.16797,0.16797,0.2,0.82772,3829307,0.2,0,18.78,18.78,0.64124,0.275,0.54269,0.59652,0.5528,0.5913,0.05,0.01501,0.00815,99.71385,0.0747,0.0747,0,0.03438,0.03438,0.21952,0.12546,0.24635,0.15552,539537402.22523,490849055.64772,48688346.57751,0.284,0.38386,0.63,0.35963,0.35963,0.38386
Botswana,BWA,0.53565,3,40,1,0.28118,0.08854,0.21645,0.94583,0.946,0.8625,2165.01845,18517.00638,122077.06869,42.36161,85618915.97982,0,0,0,74.01594,0,0.00023,76.44627,0.03029,0.03537,0.02902,0.03495,1,15246.6088,1.5,0.00222,0.10282,BWA,1.22047,0.05434,Botswana,0.16797,0.16797,0.2,0.92972,2021144,0.2,0.73333,16.67,16.67,0.12988,0.725,0.55414,0.57233,0.52305,0.54103,0.05,0.00501,0.00278,90.47733,0.0284,0.0284,1,0.39896,0.39896,0.23279,0.04378,0.53887,0.42527,154508910.41525,149596876.55701,4912033.85824,0.184,0.55758,0.504,0.444,0.555,0.44606
Brazil,BRA,0.53565,3,40,1,0.26558,0.06362,0.12968,0.84059,0.9808,0.59167,2467.08643,17577.08114,116540.12984,63.85188,12793486122.9943,0,0,0,105.96532,0,0.00052,109.94511,0.0489,0.05712,0.04685,0.04966,0.6,14555.0822,1.5,0.00379,0.13739,BRA,1.20559,0.29961,Brazil,0.16797,0.16797,0.2,0.80625,200361925,0.2,0.86667,22.17,22.17,0.10514,0.58333,0.58076,0.60257,0.54605,0.57314,0.05,0.00755,0.00439,114.13259,0.0339,0.0339,0.2,0.36458,0.36458,0.22567,0.20561,0.50798,0.49523,22028814873.4614,21231414855.2183,797400018.24311,0.059,0.57006,0.6048,0.5448,0.5675,0.54726
Bulgaria,BGR,0.53565,3,40,1,0.32308,0.01463,0.07025,0.79933,0.995,0.675,5030.2532,18361.20894,125667.40518,22.07072,160346343.76162,0,0,0,32.49657,0,0.00005,32.82464,0.04014,0.04688,0.03845,0.04066,0.8,15695.01779,1.5,0.00042,0.12009,BGR,1.26043,0.39633,Bulgaria,0.16797,0.16797,0.2,0.96939,7265115,0.2,0.66667,28.32,28.32,0.60385,0.55,0.67238,0.67917,0.54149,0.65603,0.05,0.00209,0.00141,138.98655,0.0641,0.0641,0.8,0.33542,0.33542,0.66309,0.40446,0.7761,0.60422,238474800.07956,236091304.23387,2383495.84569,0.129,0.39281,0.5292,0.31332,0.373,0.32996
Burkina Faso,BFA,0.53565,3,40,1,0.40567,0.03739,0.1071,0.66333,0.659,0.525,547.82935,1901.09828,13054.69875,9.43067,159706916.57099,0,0,0,12.67093,0,0.00006,13.31494,0.00804,0.00563,0.00864,0.0112,0.8,1630.4445,1.5,0.00029,0.22564,BFA,1.33919,0.33234,Burkina Faso,-0.3,-0.3,0.2,0.69074,16934839,0.2,0.8,1.9,1.9,0.04974,0.25,0.70828,0.74428,0.69814,0.7314,0.05,0.00817,0.00578,14.20106,0.0672,0.0672,0.6,0.33125,0.33125,0.49468,0.32352,0.66206,0.5476,225486319.23175,214580101.23785,10906217.9939,0.031,0.60015,0.5544,0.5269,0.59875,0.52813
Burundi,BDI,0.53565,3,40,1,0.46298,0.00543,0.05162,0.70033,0.603,0.1,334.63815,850.04065,5980.78608,2.13153,21661747.09227,0,0,0,3.73812,0,0.00011,4.29642,0.00778,0.00909,0.00745,0.013,0.2,746.96015,1.5,0.00037,0.2979,BDI,1.39385,0.20233,Burundi,0.16797,0.16797,0.2,0.47496,10162532,0.2,0.53333,1.72,1.72,0.85393,0,0.49612,0.57021,0.51697,0.54432,0.05,0.00575,0.00285,13.02262,0.0896,0.0896,0.6,0.15833,0.15833,0.15119,0.13625,0.28559,0.27301,43662539.69085,37988739.6451,5673800.04575,0.069,0.33982,0.5544,0.2684,0.305,0.29904
Cambodia,KHM,0.53565,3,40,1,0.45929,0.00218,0.01208,0.5713,0.74,0.15,1323.11434,3348.62725,23568.31397,34.57362,523277586.10646,0,0,0,61.23163,0,0.00165,71.93998,0.11272,0.08454,0.11976,0.1598,0,2943.52467,1.5,0.00628,0.26313,KHM,1.39033,0.5974,Cambodia,-0.25,-0.25,0.2,0.6423,15135169,0.2,0,5.29,5.29,1.57392,0.3,0.48059,0.56464,0.55187,0.55701,0.05,0.02444,0.01175,34.55596,0.0899,0.0899,0,0.0375,0.0375,0.02479,0.02824,0.06136,0.06468,1088823693.27315,926751025.5322,162072667.74096,0.003,0.24476,0.63,0.2179,0.2179,0.24476
Cameroon,CMR,0.53565,3,40,1,0.41974,0.09631,0.10153,0.51058,0.636,0.15,869.7417,3206.74451,21933.47277,5.05549,112504662.81725,0,0,0,14.43605,0,0.00046,16.59537,0.03283,0.0453,0.02971,0.03702,0,2739.34394,1.5,0.00164,0.27729,CMR,1.35261,0.61484,Cameroon,0.38,0.38,0.2,0.69755,22253959,0.2,0,6.73,6.73,2.26807,0.3,0.30463,0.3502,0.30903,0.34225,0.05,0.00606,0.00185,42.38174,0.0635,0.0635,0,0.0375,0.0375,0.14992,0.02986,0.1818,0.06624,369312787.1781,321259192.93507,48053594.24303,0.04,0.16982,0.555,0.13,0.13,0.16982
Canada,CAN,0.53565,3,40,1,0.33548,0.3689,0.64163,0.92439,1,0.8,14874.10324,48655.07714,335477.40403,6.37805,224215803.60256,0,0,0,9.16407,0,0,9.16909,0.0379,0.04427,0.03631,0.03686,0.6,41898.88236,1.5,0.00002,0.04941,CAN,1.27226,0.15122,Canada,0.16797,0.16797,0.2,0.99838,35154279,0.2,0.86667,84.08,84.08,0.83954,1,0.6956,0.69598,0.54238,0.65873,0.05,0.00022,0.00015,325.88855,0.071,0.071,0.8,0.41667,0.41667,0.631,0.14,0.78475,0.49833,322332573.93015,322156294.89008,176279.04007,0.071,0.13862,0.2142,0.10733,0.12778,0.11644
Central African Republic,CAF,0.53565,3,40,1,0.31474,0.00621,0.03726,0.54397,0.538,0,98.46735,705.85309,4679.00129,15.84367,73140993.20209,0.00001,0.00002,0.00002,29.52763,0.00002,0.00256,37.00432,0.03598,0.04245,0.03436,0.04463,0,584.37594,1.5,0.0072,0.35549,CAF,1.25248,0.45006,Central African Republic,0.18,0.18,0.2,0.46556,4616417,0.2,0,2.33,2.33,0.09726,0,0.42816,0.53657,0.52834,0.53657,0.05,0.06332,0.02711,16.94809,0.0337,0.0337,0,0,0,0.04573,0.10964,0.04573,0.10964,170827390.10453,136311841.71368,34515548.39085,0.076,0.57416,0.63,0.57175,0.57175,0.57416
Chad,TCD,0.53565,3,40,1,0.7532,0.04925,0.08138,0.3084,0.227,0,493.26881,2403.67464,16186.56373,17.4337,223592687.79164,0,0,0,37.77858,0,0.00477,57.62249,0.06322,0.07384,0.06057,0.07816,0,2021.59347,1.5,0.01143,0.41724,TCD,1.67062,0.61021,Chad,0.16797,0.16797,0.2,0.50988,12825314,0.2,0,5.66,5.66,0.04897,0,0.30255,0.46147,0.4595,0.46147,0.05,0.0285,0.00862,36.60291,0.0488,0.0488,0,0,0,0.02213,0.05305,0.02213,0.05305,739026581.69967,484522156.27492,254504425.42475,0.07,0.60059,0.63,0.59875,0.59875,0.60059
Chile,CHL,0.53565,3,40,1,0.34739,0.07034,0.16054,0.84052,0.9985,0.91667,4907.37113,25915.69666,173860.65039,9.07947,159977528.89086,0,0,0,15.01966,0,0.00001,15.04967,0.08502,0.0993,0.08145,0.08372,1,21714.03156,1.5,0.00009,0.0776,CHL,1.28362,0.31745,Chile,0.16797,0.16797,0.2,0.98668,17619708,0.2,0.8,57.36,57.36,0.49267,0.83333,0.6033,0.60451,0.5233,0.57269,0.05,0.00069,0.00042,243.05253,0.0452,0.0452,0.8,0.42917,0.42917,0.43308,0.20448,0.67638,0.54589,265170855.00973,264642064.06629,528790.94344,0.06,0.12059,0.1512,0.09841,0.11716,0.1013
China,CHN,0.53565,3,40,1,0.22922,0.17048,0.42053,0.82961,0.998,0.81667,2690.98651,13732.96276,92275.3012,80.72815,109578772665.07,0,0,0,120.11781,0,0.00026,121.47244,0.09112,0.10643,0.0873,0.09269,0.8,11524.56751,1.5,0.00249,0.10563,CHN,1.17091,0.33878,China,0.16797,0.16797,0.2,0.89951,1357380000,0.2,0.8,26.03,26.03,0.11666,0.83333,0.66458,0.67207,0.60388,0.64374,0.05,0.01054,0.007,129.88742,0.0467,0.0467,0.8,0.40417,0.40417,0.41006,0.18667,0.6485,0.51539,164884267260.083,163045509188.403,1838758071.67954,0.046,0.56418,0.5292,0.47061,0.56025,0.47391
Colombia,COL,0.53565,3,40,1,0.27978,0.02795,0.13651,0.92563,0.9905,0.7,1984.18859,14535.68457,96285.26681,12.24847,591863122.67716,0,0,0,45.89608,0,0.00033,48.2527,0.03212,0.07035,0.02257,0.0342,0.8,12025.38537,1.5,0.00299,0.11075,COL,1.21913,0.13925,Colombia,1.19,1.19,0.2,0.84712,48321405,0.2,0.73333,19.71,19.71,1.27484,0.6,0.25384,0.26687,0.19603,0.21253,0.05,0.00401,0.00102,103.71775,0.033,0.033,0.8,0.35833,0.35833,0.12269,0.08733,0.43706,0.41437,2331638282.69961,2217762928.12287,113875354.57674,0.105,0.27694,0.5292,0.20108,0.23938,0.23263
"Congo, Dem. Rep.",COD,0.53565,3,40,1,0.23706,0.00871,0.01916,0.73698,0.801,0.125,214.22141,925.51872,6271.42698,22.83648,1541774507.95273,0,0.00002,0.00002,34.16445,0.00002,0.00086,38.02669,0.02714,0.0247,0.02775,0.03633,0,783.25925,1.5,0.00407,0.21192,COD,1.17839,0.32705,"Congo, Dem. Rep.",-0.09,-0.09,0.2,0.70725,67513677,0.2,0,2.04,2.04,0.23258,0.25,0.60054,0.66843,0.65906,0.66283,0.05,0.04855,0.02916,15.10497,0.0547,0.0547,0,0.03125,0.03125,0.01298,0.03018,0.04383,0.06048,2567321834.63028,2306567861.51503,260753973.11525,0.08,0.51112,0.63,0.505,0.505,0.51112
"Congo, Rep.",COG,0.53565,3,40,1,0.37275,0.01771,0.08744,0.85424,0.925,0.175,1593.30451,6701.96135,45480.65966,21.96619,97697514.48478,0,0,0,57.96817,0,0.00025,62.86551,0.03212,0.03752,0.03077,0.03485,0,5680.22998,1.5,0.0015,0.16928,COG,1.3078,0.21653,"Congo, Rep.",0.16797,0.16797,0.2,0.70291,4447632,0.2,0,3.43,3.43,2.49683,0.35,0.34942,0.37894,0.32914,0.36937,0.05,0.01107,0.00387,23.67346,0.0561,0.0561,0,0.04375,0.04375,0.17197,0.15214,0.2082,0.18924,279602668.23419,257821090.46648,21781577.76771,0.065,0.15871,0.555,0.13,0.13,0.15871
Costa Rica,CRI,0.53565,3,40,1,0.4819,0.07918,0.27923,0.87877,0.991,0.74167,2827.17145,16081.63615,107537.73398,4.15966,20266537.5305,0,0,0,8.9555,0,0.00002,9.15939,0.01833,0.02141,0.01756,0.02003,1,13430.74321,1.5,0.00021,0.10668,CRI,1.41189,0.23345,Costa Rica,0.16797,0.16797,0.2,0.8772,4872166,0.2,0.93333,17.02,17.02,2.51646,0.48333,0.45414,0.46448,0.27279,0.38112,0.05,0.00068,0.00031,92.02515,0.0421,0.0421,1,0.41875,0.41875,0.46967,0.20281,0.69174,0.53663,44626078.76119,43632692.55172,993386.20947,0.076,0.17916,0.504,0.124,0.155,0.14333
Croatia,HRV,0.53565,3,40,1,0.23052,0.07799,0.15243,0.93769,1,0.63333,8029.61936,23053.82911,160528.91597,17.67741,75229773.90337,0,0,0,23.51582,0,0.00013,23.68188,0.11574,0.13518,0.11088,0.10141,0.8,20048.98716,1.5,0.00157,0.08164,HRV,1.17216,0.12463,Croatia,0.16797,0.16797,0.2,0.9944,4255700,0.2,0.8,179.79,179.79,0.63391,0.46667,0.74645,0.75172,0.60304,0.71249,0.05,0.00118,0.00088,574.62066,0.0801,0.0801,0.8,0.35833,0.35833,0.54942,0.27049,0.71088,0.5319,100782974.48219,100076262.38151,706712.10069,0.177,0.38558,0.5292,0.30209,0.35963,0.32388
Czech Republic,CZE,0.53565,3,40,1,0.2398,0.26152,0.41788,0.92096,0.999,0.90833,13120.06268,31875.56493,225187.92393,28.93084,304186763.67076,0,0,0,37.95812,0,0.00003,38.07471,0.07017,0.08195,0.06722,0.06908,1,28124.46448,1.5,0.0006,0.05184,CZE,1.18101,0.15708,Czech Republic,0.16797,0.16797,0.2,0.99251,10514272,0.2,0.53333,86.78,86.78,0.61498,0.81667,0.75984,0.76218,0.63106,0.71711,0.05,0.00135,0.00103,333.65358,0.0933,0.0933,1,0.36042,0.36042,0.4058,0.45012,0.61996,0.6483,400327892.76589,399101998.59925,1225894.16665,0.069,0.3901,0.504,0.288,0.36,0.31208
Denmark,DNK,0.53565,3,40,1,0.23011,0.4419,0.64744,0.93604,1,0.5,19393.36737,48255.07373,340152.19495,4.77391,26805176.44102,0,0,0,6.12845,0,0,6.13178,0.00543,0.00634,0.0052,0.00607,0,42482.73246,1.5,0,0.04836,DNK,1.17176,0.12792,Denmark,0.16797,0.16797,0.2,0.98887,5614932,0.2,0,25.74,25.74,0.03548,1,0.77855,0.77898,0.75761,0.77717,0.05,0.00014,0.00011,128.72712,0.0913,0.0913,0,0.125,0.125,0.67681,0.35351,0.71721,0.43432,34429538.53622,34410817.72145,18720.81477,0.07,0.12555,0.13,0.125,0.125,0.12555
Dominican Republic,DOM,0.53565,3,40,1,0.37715,0.05701,0.22953,0.79793,0.986,0.475,2954.76538,14005.64688,94444.37719,1.71402,17832288.62236,0,0,0,2.29277,0,0.00001,2.31729,0.03555,0.02133,0.0391,0.03485,0.6,11795.47058,1.5,0.00009,0.14656,DOM,1.31199,0.39015,Dominican Republic,-0.4,-0.4,0.2,0.91139,10403761,0.2,0.66667,76.96,76.96,0.36988,0.35,0.73967,0.74758,0.71519,0.72935,0.05,0.0002,0.00015,304.80897,0.0501,0.0501,0.8,0.28542,0.28542,0.19175,0.11761,0.42244,0.36946,24108560.72956,23853443.9541,255116.77546,0.149,0.1314,0.1512,0.1092,0.13,0.11037
Ecuador,ECU,0.53565,3,40,1,0.25747,0.09388,0.17697,0.73253,0.905,0.55,2266.24133,12609.26137,84397.29585,75.13652,1182489393.84996,0,0,0,116.56972,0,0.00055,120.27376,0.0661,0.0772,0.06332,0.06926,0.8,10540.65737,1.5,0.00396,0.14015,ECU,1.19786,0.43994,Ecuador,0.16797,0.16797,0.2,0.889,15737878,0.2,0.8,18.4,18.4,0.04935,0.3,0.62471,0.64456,0.59521,0.62087,0.05,0.01141,0.00713,98.06852,0.043,0.043,0.6,0.3375,0.3375,0.27929,0.17365,0.52253,0.45254,1892853715.72289,1834560038.02366,58293677.69923,0.042,0.60037,0.5544,0.5269,0.59875,0.52833
"Egypt, Arab Rep.",EGY,0.53565,3,40,1,0.49278,0.00209,0.01017,0.60466,0.789,0.43333,4964.23853,12175.80127,85941.26454,50.37708,4133760466.60366,0,0,0,92.61867,0,0.0022,101.39143,0.18959,0.29956,0.1621,0.2004,0.6,10733.48872,1.5,0.01177,0.18712,EGY,1.42227,0.57969,"Egypt, Arab Rep.",0.58,0.58,0.2,0.96098,82056378,0.2,0.66667,31.41,31.41,0.33413,0.26667,0.49686,0.54392,0.50328,0.51517,0.05,0.00945,0.00469,151.0614,0.0925,0.0925,0.6,0.275,0.275,0.10013,0.11928,0.3476,0.36148,8319813233.0913,7599952306.57648,719860926.51482,0.127,0.47222,0.5544,0.3894,0.4425,0.41555
El Salvador,SLV,0.53565,3,40,1,0.13424,0.04985,0.18162,0.85531,0.995,0.49167,2141.79856,8858.40368,60172.0208,19.02077,120600333.46758,0,0,0,29.45369,0,0.00004,29.92993,0.00829,0.00969,0.00795,0.009,0.6,7515.08266,1.5,0.0003,0.12326,SLV,1.08034,0.28437,El Salvador,0.16797,0.16797,0.2,0.83789,6340454,0.2,0.66667,6.82,6.82,0.9248,0.38333,0.63551,0.64579,0.51836,0.57188,0.05,0.00398,0.00253,42.8585,0.057,0.057,0.6,0.28958,0.28958,0.18429,0.17737,0.42051,0.41559,189769368.59257,186749781.82812,3019586.76445,0.063,0.32731,0.5544,0.2684,0.305,0.28803
Estonia,EST,0.53565,3,40,1,0.28006,0.18929,0.3583,0.90456,0.998,0.40833,9053.47554,29303.84012,202202.72679,4.68991,6181292.05309,0,0,0,7.19525,0,0.00001,7.23375,0.01923,0.02246,0.01842,0.01821,0,25253.7672,1.5,0.00009,0.07122,EST,1.2194,0.18887,Estonia,0.16797,0.16797,0.2,0.96979,1317997,0.2,0,46.5,46.5,1.35951,0.81667,0.64834,0.65181,0.49853,0.63541,0.05,0.00029,0.00019,206.5723,0.0717,0.0717,0,0.10208,0.10208,0.51852,0.34897,0.56767,0.41543,9534065.45675,9483323.6229,50741.83386,0.088,0.12926,0.305,0.11272,0.11272,0.12926
Finland,FIN,0.53565,3,40,1,0.21799,0.41186,0.66385,0.9068,0.999,0.89167,17818.75722,44071.33798,310831.88369,12.75019,69347905.79961,0,0,0,15.70604,0,0,15.71088,0.0296,0.03457,0.02835,0.02965,0.8,38820.82182,1.5,0.00001,0.05989,FIN,1.16021,0.1854,Finland,0.16797,0.16797,0.2,0.99552,5438972,0.2,0.86667,48.24,48.24,0.7938,0.98333,0.81155,0.8118,0.64346,0.76362,0.05,0.0004,0.00033,212.55068,0.0918,0.0918,0.8,0.43958,0.43958,0.57169,0.33562,0.75997,0.62767,85451032.16808,85424719.37232,26312.79577,0.082,0.14216,0.2142,0.10773,0.12825,0.11941
