name,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,gdp_pc_pp_nat,v_p,v_r,fap,far,protection,avg_prod_k,T_rebuild_K,pi,sigma_r,sigma_p,income_elast,rho,v_s,protectionref,dK,delta_W,dcap,dcar,dKtot,dWpc_curency,dWtot_currency,risk,resilience,risk_to_assets
Quirino,42119,109.4421897452,210.8101675607,0.1546661,195.1319777671,0.0770678276,0.0442854503,0.0442854503,0.1384023574,234.6025772289,0.1281624194,0.1090071619,0.005,0.005,1,0.23,3,0.2,0,0,1.5,0.15,0.1080416757,1,0.464989812,0.000011542,57.3965546724,85.3902341024,19584.9058919017,0.5415495978,22809.527508848,0.0027752991,0.8586283028,0.0023829503
Rizal,611020,90.1759993501,391.2924351543,0.0503628,376.1273683212,0.2197322864,0.1354442056,0.1354442056,0.1779981718,234.6025772289,0.168555227,0.1098114251,0.005,0.005,16.23,0.23,3,0.2,0,0,1.5,0.15,0.1068367609,16.23,0.8789322664,8.38556133464508E-006,54.6520015875,149.5674443514,33089.6607162656,0.0648752626,39640.0829573431,0.0001724822,0.8347525597,0.0001439799
Romblon,64792,76.3488607087,173.0215083998,0.3036073,143.6709868505,0.0530585106,0.1716718669,0.1716718669,0.216936129,234.6025772289,0.2822505211,0.1784618794,0.0615011812,0.0480253946,1,0.23,3,0.2,0,0,1.5,0.15,0.1723345026,1,6.0667037727,0.0002953487,77.3893910338,102.8683429837,393073.870841684,8.7549122807,567248.276492111,0.0609372322,0.6929485503,0.0422263667
Samar (Western),151139,65.4354274001,171.8054138076,0.4349463,125.5401817886,0.0544015363,0.1568406649,0.1568406649,0.1485105481,234.6025772289,0.2620038943,0.1801392239,0.0350051203,0.0280280121,6.8001408451,0.23,3,0.2,0,0,1.5,0.15,0.1744885928,6.8001408451,3.1867882501,0.0002008615,62.4383230316,111.525241353,70829.1196180697,0.7151810477,108091.74836163,0.0056968298,0.6552685167,0.0037329532
Sarangani,115139,71.2974024008,193.1457307463,0.460157,137.0763695198,0.2251234776,0.1302609832,0.1302609832,0.129936441,234.6025772289,0.3032888528,0.1991601911,0.0176897336,0.0127647116,23.94,0.23,3,0.2,0,0,1.5,0.15,0.1939716307,23.94,1.8533071316,0.0001105776,78.2263949138,141.9951726945,8913.4473612772,0.1275998206,14691.715749376,0.0009308666,0.6066988712,0.0005647557
Siquijor,22141,76.9229902237,281.7251427298,0.2402308,232.5253577915,0.0664011414,0.1503647929,0.1503647929,0.2354228718,234.6025772289,0.2070031961,0.1441742956,0.0979669383,0.0790151444,6.8001408451,0.23,3,0.2,0,0,1.5,0.15,0.1398385479,6.8001408451,11.890634677,0.0002957332,58.7295139505,134.148483297,38715.4543385776,2.6543048901,58768.964572578,0.0114151201,0.6587738038,0.0075199821
Sorsogon,160822,81.246484878,163.1614608138,0.3129167,137.5288968634,0.0547068725,0.2330400444,0.2330400444,0.1836202007,234.6025772289,0.2555122804,0.1888178972,0.0400364554,0.0312341811,1,0.23,3,0.2,0,0,1.5,0.15,0.1800174709,1,3.8589833085,0.0001844301,69.0606114155,104.9873541343,620609.413640812,5.1201876679,823438.82112242,0.0372299043,0.7536800521,0.0280594362
South Cotabato,333099,74.960920048,246.6148765392,0.2576226,202.3929379677,0.2463230685,0.1109006475,0.1109006475,0.1785675119,234.6025772289,0.2606305498,0.1554590857,0.005,0.005,6.51,0.23,3,0.2,0,0,1.5,0.15,0.152010983,6.51,0.7090350299,2.09752722855061E-005,71.8304312602,134.0324845479,36279.3946882001,0.159691853,53193.1965385747,0.0007890189,0.6820307304,0.0005381351
Southern Leyte,93675,75.3610256193,220.1996045642,0.3404328,170.891801586,0.0955409889,0.1642090401,0.1642090401,0.2713237256,234.6025772289,0.2021825024,0.1373618192,0.023869369,0.0183803728,1,0.23,3,0.2,0,0,1.5,0.15,0.1328506087,1,2.069960196,8.19722230149811E-005,54.4808042794,93.3144811536,193903.521364645,3.1521847643,295280.907795364,0.0184455002,0.6566747671,0.0121126946
Sultan Kudarat,183454,66.5310572258,167.6261831613,0.4037797,126.8060235396,0.1146380932,0.11708966,0.11708966,0.2552542806,234.6025772289,0.279118461,0.1757686576,0.0106582598,0.0079601689,7.14,0.23,3,0.2,0,0,1.5,0.15,0.1716525191,7.14,0.9332380701,6.01498197854156E-005,69.7131477395,93.4233586386,23978.4673559084,0.2070661293,37987.1096760691,0.0016329361,0.6312264229,0.0010307524
Sulu,127630,106.9819253286,151.7095059854,0.4017729,133.739176195,0.1187395222,0.0245381876,0.0245381876,0.0260184555,234.6025772289,0.2807783065,0.2653781171,0.0350051203,0.0280280121,1,0.23,3,0.2,0,0,1.5,0.15,0.2640757375,1,4.7137636341,0.0002290568,124.4762928147,169.7810571052,601617.652626434,6.0980949089,778299.853223543,0.0455969229,0.7729895491,0.0352459449
Surigao del Norte,128923,89.8163789775,215.7143834259,0.3383435,173.1176119579,0.0888490305,0.1635431014,0.1635431014,0.1965825234,234.6025772289,0.2687551582,0.1853028065,0.0350051203,0.0280280121,1,0.23,3,0.2,0,0,1.5,0.15,0.1792418074,1,4.3384846007,0.000159687,86.6273305064,135.9878387363,559330.450179603,6.2610138084,807188.683222413,0.0361662441,0.6929364371,0.0250609083
Surigao del Sur,120055,88.1427644253,228.649587006,0.2829407,188.8944882703,0.1313802477,0.1817786849,0.1817786849,0.2536765301,234.6025772289,0.2510524611,0.1803562716,0.0350051203,0.0280280121,6.8001408451,0.23,3,0.2,0,0,1.5,0.15,0.1737992865,6.8001408451,4.4003334623,0.0001387543,77.076960934,130.1773755192,77686.9252929577,0.9118442501,109471.461448854,0.0048272676,0.7096545918,0.0034256926
Tarlac,296663,82.2898839299,283.9269578306,0.1354197,256.621325774,0.1604435278,0.117968364,0.117968364,0.2665484258,234.6025772289,0.1879909892,0.1249546764,0.005,0.005,10.72,0.23,3,0.2,0,0,1.5,0.15,0.1220065367,10.72,0.6951644632,1.25904853633951E-005,57.4473578489,110.6679258163,19237.8335013759,0.0831093578,24655.4714072001,0.0003238599,0.7802663021,0.000252697
Tawi-tawi,66077,112.306575419,189.7559147521,0.2194188,172.7620736549,0.0714050292,0.0195446547,0.0195446547,0.0611975287,234.6025772289,0.1264087178,0.1593099905,0.0350051203,0.0280280121,6.8001408451,0.23,3,0.2,0,0,1.5,0.15,0.1586872587,6.8001408451,3.3316278254,9.97435902725385E-005,59.7064286271,123.1335851454,32373.4429678566,0.5733275589,37883.7651118247,0.0033185962,0.8545466078,0.0028358951
Zambales,184359,94.3939087926,202.1536930289,0.1206655,189.1508047842,0.0836391899,0.1729250403,0.1729250403,0.2137786453,234.6025772289,0.2158904972,0.1264522278,0.013158047,0.0111149172,1,0.23,3,0.2,0,0,1.5,0.15,0.1220788764,1,1.1870324518,3.31054192572733E-005,72.1696895746,84.6154670256,218840.11577567,1.4824310537,273299.506632668,0.0078372971,0.8007336657,0.0062755876
Zamboanga del Norte,217100,60.6649536865,194.5781438347,0.4796748,130.343361133,0.1989412462,0.1668546838,0.1668546838,0.1845000496,234.6025772289,0.2640352225,0.1659193718,0.0350051203,0.0280280121,1,0.23,3,0.2,0,0,1.5,0.15,0.160382487,1,3.1015859853,0.0002023482,55.9604810574,111.3505366084,673354.317407058,5.1831734959,1125266.96596646,0.0397655351,0.59839517,0.0237955041
Zamboanga del Sur,402612,79.3039403551,213.181928179,0.2586444,178.5551363451,0.1665683903,0.1975833763,0.1975833763,0.1895558489,234.6025772289,0.2881670556,0.1908189213,0.0350051203,0.0280280121,15.31,0.23,3,0.2,0,0,1.5,0.15,0.183278392,15.31,4.3994449574,0.0001551069,77.5091008115,138.578111353,115693.620717175,0.4160807485,167519.102306893,0.0023302648,0.6906294215,0.0016093494
Zamboanga Sibugay,129797,76.4925074959,198.9482108124,0.3701923,153.6160523535,0.1687404653,0.1852311169,0.1852311169,0.1614988554,234.6025772289,0.3199174148,0.1905695795,0.0089051872,0.0067994594,1,0.23,3,0.2,0,0,1.5,0.15,0.1835096963,1,1.0186709965,4.92554147402124E-005,83.8639645048,133.2733332898,132220.439328872,1.6142544636,209525.386612974,0.010508371,0.6310473469,0.0066312796
